建案編號,建案名稱,縣市	行政區,,地址,總戶數,樓層,產品類型,使用分區/用途,門牌號,格局,其他用途名稱,成交時間,基地面積,建蔽率,容積率,車位配比,停車規劃,充電樁,管理費,結構工程,土地分區,標籤,朝向規劃,建案介紹,公共設施,備註,交通,周邊環境
138379,長耀辰,桃園市,龜山區,桃園市龜山區文桃路與樂善一路交叉口附近,1幢，5棟，520戶住家，13戶店面，530戶事務所,地上28、29層，地下7層,預售屋,住宅大樓,文桃路與樂善一路交叉口附近,二房 21~23' '三房 29~30' '1+1房 19' '2+1房 22~25',住商用,2031年上半年,1949.17 坪,35%,52.24%,1 0.85,平面式905個,有充電設備（含預留）, 待定 ,RC鋼筋混凝土結構,中心商業區,['近捷運'  '明星學區'  '重劃區'  '近公園'  '景觀宅'  '低首付'],朝北,RC鋼筋混凝土。,['接待大廳'  '中庭花園'  '交誼廳'  '會議室'  '游泳池'  '健身房'  '桌球室'  '親子遊戲區'  '瑜伽教室'  '信箱區'  'Lounge Bar'],"「長耀辰」位於桃園市龜山區文桃路與樂善一路交叉口附近，由長耀建設股份有限公司投資興建，國原營造股份有限公司營造，邱垂睿建築師事務所建築設計，基地面積1949.17坪、建蔽率52.24％、公設比35%，樓層規劃為5棟地上28/29層，地下7層建築，共有520戶住家，13戶店面，530戶事務所，格局坪數規劃二房(21~23坪)、三房(29~30坪)、1+1房(19坪)、2+1房(22~25坪)。

車位共規劃905個平面車位。

周邊環境，步行約6分鐘即可抵達學區文青中小學，距中華郵政物流園區約2分鐘車程，車程約8~9分鐘可至華亞科學園區、樂善科技園區。

生活採買方面，車程約5分鐘可達全聯福利中心龜山文德店、家樂福超市龜山文青店。

交通方面，約4分鐘車程可至機場捷運-A7體育大學站，亦有國道一號可利用，輕鬆往來各縣市。",'捷運系統'  'A7體育大學站 '  '高速公路'  '國道一號 '  '快速道路'     '高鐵系統'     '台鐵系統'     '其他方式','學區'  '文青中小學 '  '超商/賣場'  '全聯、家樂福超市 '  '傳統市場'     '公共建設'  '郵政物流園區形象公園 '  '熱門商圈'  'A8商圈、A9商圈 '  '醫療機構'  '長庚醫院 '  '政府機構'     '其他配套'  '三井OUTLET、環球購物中心、華亞科技園區、樂善科技園區'
139807,英倫花都,桃園市,龜山區,桃園市龜山區文桃路476巷附近,1幢，1棟，110戶住家，2戶店面,地上15層，地下5層,預售屋,住宅大樓,文桃路476巷附近,二房 19~22' '三房 27~29',住商用,2028年第二季度,394.66 坪,35.5%,43.24%,1 0.84,平面式94個,有充電設備（含預留）,'95' 元/坪/月,RC鋼筋混凝土結構,第五種住宅區,['近捷運'  '明星學區'  '重劃區'  '近公園'  '景觀宅'],朝南,廚具 搭配瓦斯爐或l H爐、抽油煙機+洗碗機+廚下型冷熱淨飲機，衛浴 KOHLER鏡櫃、雙衛浴雙暖風機、雙免治馬桶座，五金 APD電子門鎖，其他 5+5膠合玻璃、Green Web防霾紗窗。,['接待大廳'  '空中花園'  '交誼廳'  '閱覽室'  '健身房'  '兒童遊戲區'  '信箱區'],"「英倫花都」位於桃園市龜山區文桃路476巷附近，由遠宏開發股份有限公司投資興建，三豐營造有限公司營造，富昱建築師事務所/胡富傑建築設計，基地面積394.66坪、建蔽率43.24％、公設比35.5%，樓層規劃為1棟地上15層，地下5層建築，共有110戶住家，2戶店面，格局坪數規劃二房(19~22坪)、三房(27~29坪)。

車位共規劃94個平面車位，公共設施有接待大廳、空中花園、交誼廳、閱覽室、健身房、兒童遊戲區、信箱區，結構採RC鋼筋混凝土，建材有廚具 搭配瓦斯爐或l H爐、抽油煙機+洗碗機+廚下型冷熱淨飲機，衛浴 KOHLER鏡櫃、雙衛浴雙暖風機、雙免治馬桶座，五金 APD電子門鎖，其他 5+5膠合玻璃、Green Web防霾紗窗。

周邊環境，步行約5分鐘即可抵達學區文青中小學，距中華郵政物流園區約1分鐘步行，車程約8~9分鐘可至華亞科學園區、樂善科技園區。

生活採買方面，車程約5分鐘可達全聯福利中心龜山文德店，距家樂福超市約7分鐘車程。

交通方面，約4分鐘車程可至機場捷運-A7體育大學站，亦有國道一號可利用，輕鬆往來各縣市。",'捷運系統'  '機場捷運-A7體育大學站 '  '高速公路'  '國道一號 '  '快速道路'     '高鐵系統'     '台鐵系統'     '其他方式'  '603號公車', '學區'  '文青國民中小學 '  '超商/賣場'  '全聯、家樂福超市 '  '傳統市場'  '龜山黃昏市場 '  '公共建設'  '中華郵政物流園區 '  '熱門商圈'  '三井OUTLET、環球購物中心 '  '醫療機構'  '長庚醫院 '  '政府機構'     '其他配套'  '華亞科學園區、樂善科技園區' 
138346,幸福森鄰,桃園市,龜山區,桃園市龜山區中興路50巷28號,1幢，2棟，87戶住家,地上10層，地下2層,新成屋,華廈,中興路50巷28號,二房 21~25' '三房 37',住家用, 隨時交屋 ,529.1 坪,33.8%,43.84%,1 0.68,平面式59個,無充電設備,'70' 元/坪/月,RC鋼筋混凝土結構,第一種住宅區,['近公園'],朝東北,廚具 櫻花三機，衛浴 HCG、TCC台灣水泥、三菱電梯。,['接待大廳'  '中庭花園'  '交誼廳'  '會議室'  '信箱區'  '包裏室'],"『幸福森鄰』位於桃園市龜山區中興路50巷內，由雲景建設有限公司投資興建，宏易營造有限公司營造，李俊利建築師事務所操刀設計，基地面積占地529.1坪、公設比約33.8%，規劃樓層地上10層及地下2層，主要規劃為2~3房共計87戶住家，建材有廚具 櫻花三機，衛浴 HCG、TCC台灣水泥、三菱電梯。

生活圈鄰近中興路商圈、桃園火車站商圈。

生活採買有車程約3分鐘的中和傳統市場(龜山市場)、車程3分鐘的小北百貨及全聯福利中心。

交通方面近大湳交流道(行車10分鐘)、桃園火車站(行車7分鐘)、鳳鳴火車站(行車7分鐘)。

學區幸福國小(走路6分鐘)、幸福國中(走路6分鐘)，打造文教基礎。",'捷運系統'     '高速公路'  '國道二號 '  '快速道路'     '高鐵系統'     '台鐵系統'  '鳳鳴火車站、桃園火車站 '  '其他方式'  '台1甲、台1線', '學區'  '幸福國小、幸福國中 '  '超商/賣場'  '全聯、小北百貨、家樂福 '  '傳統市場'  '中和市場 '  '公共建設'  '中興公園、幸福活動中心 '  '熱門商圈'  '中興商圈、桃園車站商圈 '  '醫療機構'  '德仁醫院 '  '政府機構'  '龜山區公所 '  '其他配套'  '銘傳大學' 
138571,竑鈦晶采,桃園市,龜山區,桃園市龜山區新興街311之1號旁,1幢，2棟，20戶住家,地上5層,預售屋,電梯公寓,新興街311之1號旁,二房 23~26',住家用, 已經完工 ,206.36 坪,32.5%,49.96%,1 0.55,平面式11個,有充電設備（含預留）, 待定 ,RC鋼筋混凝土結構,第二種住宅區,['近捷運'  '近公園'],朝西北、朝東南,廚具：林內三機，衛浴：HCG，其他：國際牌暖風機、樂邁Lamett地板、Panasonic四合一浴室換氣暖風機、3M淨水器。,['信箱區'],"「竑鈦晶采」位於桃園市龜山區新興街311之1號旁，由竑鈦建設股份有限公司投資興建，佑福營造工程有限公司營造，吳柏毅建築師事務所建築設計，基地面積206.36坪、建蔽率49.96％、公設比32.5%，樓層規劃為2棟地上5層建築，共有20戶住家，格局坪數規劃二房(23~26坪)。

車位共規劃11個平面車位，公共設施有信箱區，結構採RC鋼筋混凝土，建材有廚具：林內三機，衛浴：HCG，其他：國際牌暖風機、樂邁Lamett地板、Panasonic四合一浴室換氣暖風機、3M淨水器。

周邊環境，車程約3分鐘即可抵達學區大崗國小，距大崗國中約9分鐘車程，車程約2分鐘可至頂湖環保公園。

生活採買方面，車程約2分鐘可達自由聯盟生鮮超市 大崗店，距龜山黃昏市場約6分鐘車程，車程約9分鐘可達全聯福利中心 龜山文化店。

交通方面，約11分鐘車程可至機場捷運A8長庚醫院站，亦有國道一號可利用，輕鬆往來各縣市。",'捷運系統'  '機捷A8 '  '高速公路'  '國道一號 '  '快速道路'     '高鐵系統'     '台鐵系統'     '其他方式','學區'  '大崗國小、大崗國中 '  '超商/賣場'  '全聯福利中心、自由聯盟生鮮超市 '  '傳統市場'  '龜山黃昏市場 '  '公共建設'  '頂湖環保公園 '  '熱門商圈'  'A7商圈、A8商圈、三井OUTLET商圈 '  '醫療機構'  '長庚醫院 '  '政府機構'     '其他配套'  '中央警察大學、工四工業區、華亞園區'
138503,大亮睦粼,桃園市,龜山區,桃園市龜山區樂善一路、牛角坡路,1幢，1棟，146戶住家，15戶店面，118戶事務所,地上24層，地下6層,預售屋,住宅大樓,樂善一路、牛角坡路,二房 19~28' '開放格局 17~28',住商用,2028年第二季度,750.7 坪,34.5%,42.63%,1 0.8,平面式157個、機械式67個,有充電設備（含預留）,'80' 元/坪/月,RC鋼筋混凝土結構,中心商業區,['近捷運'  '近公園'  '景觀宅'  '低首付'],朝北、朝南、朝西、朝東,廚具 Bosch三機，衛浴 TOTO 五金 TOTO，其他 飛利浦電子鎖、YKK 8mm氣密窗、太格木地板。,['接待大廳'  '空中花園'  '交誼廳'  '空中泳池'  '空中SPA池'],"捷運500米＆與森林為鄰
錯過太可惜的《大亮睦粼》
五大亮點一次看～！

【亮點一：大亮品牌】
50年以上建築團隊
A7計畫區第四棟作品
經驗豐富、優質服務

【亮點二：捷運超近】
新闢道路後(目前建設中)
捷運A7站500米
步行到站約7分鐘
晴天雨天、便利安全

【亮點三：面保護區】
面保護區森林綠意
多數房型擁絕佳視野
窗外有景、心曠神怡

【亮點四：空中泳池】
景觀大師吳書原
24層空中花園泳池
高樓秘境、享受愜意

【亮點五：高級廚衛】
BOSCH廚具含洗碗機
TOTO衛浴含智慧便座
實用穩定、質感外型

——————————

同場加映▲保值三關鍵
關鍵一：位置超好！近捷運、學區及華亞科
距文青雙語國中小、機捷A7站皆約500公尺，步行約7分鐘可抵達，孩子上下課及家長上班通勤都很便利。鄰近華亞科、郵政物流園區，就業人口豐富、機能越來越強，居住需求旺盛，同時也是價值保證。

關鍵二：2房雙衛浴格局
規劃19-28坪，全棟皆為2房，規劃1衛、1.5衛及雙衛浴格局，供應多元使用需求。減少走道虛坪，提升家的舒適度，大多數房間可放雙人床，實住的2房格局大進化。

關鍵三：大棟距、享綠意
正對森林(保護區)，享受重劃區珍貴的“大棟距”、“好視野”，多數房型眺望開闊的景觀，期待未來住在這裡，綠意盎然的環境、令人心曠神怡的窗景，待在家超舒心。

周邊環境，車程約2分鐘即可抵達學區文青中國小，距大崗國中約9分鐘車程，車程約4分鐘可至郵政物流園區形象公園。

生活採買方面，車程約5分鐘可達全聯福利中心龜山文青店，距家樂福龜山文青店約5分鐘車程。

交通方面，除了捷運體育大學站步行約7分鐘，亦有國道一號可利用，輕鬆往來各縣市。",'捷運系統'  '捷捷-A7站 '  '高速公路'  '國道一號 '  '快速道路'     '高鐵系統'     '台鐵系統'     '其他方式','學區'  '文青中小學、大崗國中 '  '超商/賣場'  '全聯、家樂福 '  '傳統市場'  '龜山黃昏市場 '  '公共建設'  '郵政物流園區形象公園 '  '熱門商圈'  'A8、A9商圈 '  '醫療機構'  '長庚醫院 '  '政府機構'     '其他配套'  '中華郵政物流園區'
137121,福樺春天,桃園市,龜山區,桃園市龜山區文化二路與文化二路52巷口,1幢，2棟，121戶住家，6戶店面，1戶金融保險服務機構，215戶事務所,地上25層，地下5層,預售屋,住宅大樓,文化二路與文化二路52巷口,三房 38~48',住商用,2033年下半年,1100.49 坪,35%,50.19%,1 1.02,平面式351個,有充電設備（含預留）, 待定 ,RC鋼筋混凝土結構,中心商業區,['近捷運'  '明星學區'  '近公園'  '低首付'],朝西北,RC鋼筋混凝土。,['接待大廳'  '交誼廳'  '游泳池'  '信箱區'],"「福樺春天」位於桃園市龜山區文化二路與文化二路52巷口，由福樺建設股份有限公司投資興建，黃宏輝建築師事務所建築設計，基地面積1100.49坪、建蔽率50.19％、公設比35%，樓層規劃為2棟地上25層，地下5層建築，共有121戶住家，6戶店面，1戶金融保險服務機構，215戶事務所，格局坪數規劃3房(38~48坪)、事務所(18~28坪)。

車位共規劃351個平面車位，公共設施有接待大廳、交誼廳、游泳池、信箱區，結構採RC鋼筋混凝土。

周邊環境，車程約3分鐘即可抵達學區文欣國小、文華國小，距大崗國中約2分鐘車程，車程約1~2分鐘可至大坪頂公園、菜公堂公園、苗圃公園。

生活採買方面，車程約1分鐘可達全聯福利中心龜山興華店，距家樂福約1分鐘車程，車程約4~8分鐘可達龜山黃昏市場、林口黃昏市場。

交通方面，約5分鐘車程可至機捷A8長庚醫院站、長庚轉運站，亦有國道一號可利用，輕鬆往來各縣市。",'捷運系統'  '機捷-A8長庚醫院站 '  '高速公路'  '國道一號 '  '快速道路'     '高鐵系統'     '台鐵系統'     '其他方式'  '長庚轉運站','學區'  '文欣國小、文華國小、大崗國中 '  '超商/賣場'  '全聯、家樂福 '  '傳統市場'  '龜山黃昏市場、林口黃昏市場 '  '公共建設'  '大坪頂公園、菜公堂公園、苗圃公園 '  '熱門商圈'  '長庚商圈、A9商圈 '  '醫療機構'  '長庚醫院 '  '政府機構'     '其他配套'  '三井OUTLET PARK、環球購物中心'
122734,禾悅花園,桃園市,龜山區,桃園市龜山區文禾路、文達路及樂學路口,1幢，13棟，1042戶住家，9戶店面,地上29層，地下5層,預售屋,住宅大樓,文禾路、文達路及樂學路口,二房 22~23' '三房 30~37' '四房 46',住商用, 已經完工 ,4720.89 坪,33.5%,52.94%,1 1.02,平面式1068個,無充電設備,'65' 元/坪/月,RC鋼筋混凝土結構,產業專用區,['明星學區'  '近公園'  '景觀宅'  '低首付'],朝北,依現場為主,['接待大廳'  '中庭花園'  '空中花園'  '交誼廳'  '閱覽室'  '游泳池'  '健身房'  '親子遊戲區'  '兒童遊戲區'  'KTV'  '廚藝教室'  '信箱區'  '咖啡廳'],"桃園A7科技園區

市政府正式定名的「桃園A7科技園區」，由禾聯與另外兩家科技大廠聯手開發，千億資金挹注，內湖科學園區2.0版即將成形，企業總部、高級辦公樓一次到位，增值爆發力傲視A7！全區域僅三塊住宅用地，嚴選視野、公園、條件頂級地王，規劃「禾悅花園」，作為台灣住宅進化示範作。

【建案特色】

全台首座聲控智能住宅

您的一切需求，讓房子幫您辦到！導入禾聯智能家電系統，為新一代住宅生活帶來全新革命，只要「出一張嘴」，居家大小事科技代勞，便利生活自動升級！

4720坪壯闊大基地

A7超高住宅地標，緊鄰生態保護區，正對公園第一排，科技總部美式街廓，綠意視野開闊、永久棟距拒絕嫌惡景觀，入主真正首席住宅！

2020坪大森林花園

A7全區唯一2020坪森林花園，超高綠覆率社區，締造自然健康微氣候，「我家中庭花園比旁邊社區還大！」給家人驕傲尊寵好生活。

付款方式：首付6%，工程款9%，交屋5%，貸款80%",'捷運系統'  '機捷A7體育大學站 '  '高速公路'  '國道一號林口交流道 '  '快速道路'     '高鐵系統'     '台鐵系統'     '其他方式','學區'  '樂善國小、文青國中小 '  '超商/賣場'  '頂好超市、全聯福利中心 '  '傳統市場'     '公共建設'  '樂善公園 '  '熱門商圈'  '長庚商圈 '  '醫療機構'  '長庚醫療機構 '  '政府機構'     '其他配套'  'A7科技園區、郵政物流園區'
119261,A7地王 竹城甲子園,桃園市,龜山區,桃園市龜山區文化一路、文桃路口,1幢，8棟，1144戶住家，30戶店面，33戶一般事務所，2戶商場,地上24層，地下4層,新成屋,住宅大樓,文化一路、文桃路口,二房 26~28' '三房 36~39' '四房 43~49' '2+1房 26~29',住商用, 隨時交屋 ,4352.46 坪,32.5%,50.21%,1 0.88,平面式1063個,無充電設備, 待定 ,RC鋼筋混凝土結構,中心商業區,['近捷運'  '重劃區'  '近公園'  '景觀宅'],朝北、朝南、朝西、朝東、朝東北,依現場為主,['接待大廳'  '中庭花園'  '空中花園'  '交誼廳'  '閱覽室'  '游泳池'  '健身房'  '親子遊戲區'  'SPA'  '瑜伽教室'  '信箱區'],"七大奇蹟就是要讓你，第一次買房，就買到地王！
模範品牌「竹城建設」成軍23年，推出第60座建築經典，隆重鉅獻A7捷運商圈正核心，緊鄰產業專區，4352坪浩瀚基地，24層城堡莊園新地標，4780坪生態景觀當窗景！

交通動能
空橋串連直達捷運站，幸福距離剛剛好！
捷運700米，地段最保值，幸福距離剛剛好。漫步８分鐘，捷運A7「體育大學站」，往北23分鐘抵台北車站、往南26分鐘抵桃園機場，北台灣一日生活輕鬆往返。開車7分鐘上林口交流道，全台恣意穿梭。

地王登板
城堡莊園地標　生態滯洪公園首排
4352坪大基地　24層城堡莊園 24項公設獨霸全區
幅員4352坪超盛大基地！帝王級城堡莊園，A7指標性大案，休憩、公設最豐富！4780坪滯洪公園首排景觀＋800坪中庭花園，百米景觀棟距，四季生態一覽無遺，宛如A7「小秋紅谷」，轟動全區指日可待！

核心金脈
A7發展正核心，中心商業區Ｘ三大產專園區
基地坐落A7商圈正核心，並肩華亞科技園區、樂善科技園區、中華郵政物流園區等三大科技、產專園區，為各大園區黃金交會點，領銜區域發展之首善地段，龐大就業人口將帶動居住需求與機能成形（華亞科技園區23000個就業人口，樂善科技園區增加上千個就業人口，中華郵政增加6000個就業人口），科技城勢必成型。

建設品牌
深耕日式精髓　嚴守住宅品質
模範品牌　竹城建設機構
「竹城建設」命名來自「竹」的精神，台語音同「德」，以「君子守節如竹」為準則，自1996年成立至今，以安全、品質、服務、環保、效率五大經營理念深耕北台灣打造1萬2千逾戶家庭。師法日式職人精神永續經營，多次赴日觀摩取經，從選地、建造、週邊規劃到施工細節，一絲不茍嚴格要求，重視精工管理、細緻的住宅空間設計，更嚴守建築安全高標準。首創「購屋十五大保證」，包含0800售後客服專線、住宅勘檢服務等，致力創造完美舒適的居住氛圍，成就超過萬戶幸福家庭。「A7地王」將為竹城建設第60座建築，高指標性值得珍藏！",'捷運系統'  '機場捷運A7體育大學站、A8長庚醫院 '  '高速公路'  '國道一號林口交流道 '  '快速道路'     '高鐵系統'     '台鐵系統'     '其他方式','學區'  '樂善國小、大崗國中 '  '超商/賣場'  '7-11、全家、全聯福利中心、頂好 '  '傳統市場'     '公共建設'  '樂善公園 '  '熱門商圈'  '長庚商圈、環球購物中心、林口三井OUTLET '  '醫療機構'  '長庚醫療園區 '  '政府機構'  '林口行政園區 '  '其他配套'
138140,森上,桃園市,龜山區,桃園市龜山區華亞三路199巷25號,1幢，1棟，89戶住家，1戶店面,地上14層，地下4層,新成屋,住宅大樓,華亞三路199巷25號,二房 27' '三房 39' '2+1房 29~31',住商用, 隨時交屋 ,438.43 坪,34.8%,49.04%,1 0.81,平面式73個,有充電設備（含預留）,'70' 元/坪/月,RC鋼筋混凝土結構,第五種住宅區,['近捷運'  '近公園'  '景觀宅'],朝西南,廚具 雅登，衛浴 TOTO。,['接待大廳'  '空中花園'  '健身房'  '兒童遊戲區'  '信箱區'  '宅配室'],"「森上」位於桃園市龜山區華亞三路199巷25號，由大頂建設有限公司(知森堂機構)投資興建，建程營造工程有限公司營造，拓璞聯合建築師事務所建築設計，基地面積438.43坪、建蔽率49.04％、公設比34.8%，樓層規劃為1棟地上14層，地下4層建築，共有89戶住家，1戶店面，格局坪數規劃二房(27坪)、三房(39坪)、2+1房(29~31坪)。

車位共規劃73個平面車位，休閒設施有接待大廳、空中花園、健身房、兒童遊戲區、信箱區、宅配室，結構採RC鋼筋混凝土，建材有廚具 雅登，衛浴 TOTO。

周邊環境，車程約6分鐘即可抵達學區文欣國小，距大崗國中約5分鐘車程，車程約*分鐘可至郵政物流園區形象公園。

生活採買方面，車程約4分鐘可達全聯福利中心龜山文化店，距家樂福龜山文青店約5分鐘車程，車程約10分鐘可達龜山黃昏市場。

交通方面，約4~9分鐘車程可至機捷A7體育大學站、A8長庚醫院站，亦有國道一號可利用，輕鬆往來各縣市。",'捷運系統'  '機捷A7體育大學站、A8長庚醫院站 '  '高速公路'  '國道一號 '  '快速道路'     '高鐵系統'     '台鐵系統'     '其他方式','學區'  '文欣國小、大崗國中 '  '超商/賣場'  '全聯、家樂福 '  '傳統市場'  '龜山黃昏市場 '  '公共建設'  '郵政物流園區形象公園 '  '熱門商圈'  'A8長庚商圈、A7體育大學商圈 '  '醫療機構'  '長庚醫院 '  '政府機構'     '其他配套'  '三井OUTLET、華亞科技園區'
137166,極智3,桃園市,龜山區,桃園市龜山區文化七路181巷31弄17號旁,1幢，1棟，12戶住家,地上5層,預售屋,電梯公寓,文化七路181巷31弄17號旁,二房 20.3~22.54',住家用,2026年第二季度,112.83 坪,29.5%,49.98%,1 0.58,平面式7個,有充電設備（含預留）,'70' 元/坪/月,RC鋼筋混凝土結構,第二種住宅區,['近捷運'  '近公園'],朝北、朝西,廚具 櫻花、衛浴 TOTO，其他 台泥、冠軍磁磚、崇友電梯、錦鋐氣密窗、耶魯門鎖、SPC科技地板、國際牌四合一款暖風機、廚寶廚餘機。,['電動機車充電位'  '汽車預留電動車配線管'],"「極智3」位於桃園市龜山區文化七路181巷31弄17號旁，由寶品建設有限公司投資興建，壢都營造股份有限公司營造，溫其玫建築師事務所建築設計，基地面積112.83坪、建蔽率49.98％、公設比29.5%，樓層規劃為1棟地上5層建築，共有12戶住家，格局坪數規劃二房(20.3~22.54坪)。

車位共規劃7個平面車位，公共設施有電動機車充電位，汽車預留電動車配線管槽，結構採RC鋼筋混凝土，建材有廚具 櫻花，衛浴 TOTO，其他 台泥、冠軍磁磚、崇友電梯、錦鋐氣密窗、耶魯門鎖、SPC科技地板、國際牌四合一款暖風機、廚寶廚餘機。

周邊環境，車程約2分鐘即可抵達學區文華國小，距大崗國中約4分鐘車程，車程約2~3分鐘可至大華公園、廣六籃球場、大華市民活動中心、大坪頂公園。

生活採買方面，車程約4鐘可達家樂福桃園復興一店，距龜山黃昏市場約4分鐘車程。

交通方面，約6分鐘車程可至機捷A8站，亦有國道一號可利用，輕鬆往來各縣市。",'捷運系統'  '機捷A8站 '  '高速公路'  '國道一號 '  '快速道路'     '高鐵系統'     '台鐵系統'     '其他方式', '學區'  '文華國小、大崗國中 '  '超商/賣場'  '家樂福 '  '傳統市場'  '龜山黃昏市場 '  '公共建設'  '大華公園、廣六籃球場、大華市民活動中心、大坪頂公園 '  '熱門商圈'  '長庚商圈 '  '醫療機構'  '長庚醫院 '  '政府機構'  '大華派出所 '  '其他配套'  'GOGORO換電站' 
