建案編號,建案名稱,縣市	行政區,Unnamed: 3,地址,總戶數,樓層,產品類型,使用分區/用途,門牌號,格局,其他用途名稱,成交時間,基地面積,建蔽率,容積率,車位配比,停車規劃,充電樁,管理費,結構工程,土地分區,標籤,朝向規劃,建案介紹,公共設施,備註,交通,周邊環境
5933871,頤昌柏舍,,,新北市林口區中山路&文林三街,80,"地上14層,地下2層",預售屋,住宅大樓,,"二房(23~24坪),三房(35~45坪)",住商用,,708坪,30.79%,30.2%,1:0.95,,,95元/坪/月,RC造,第二種住宅區,,朝西北、朝東北、朝東南,RC構造+ Alfa Safe柱中柱+重點樓層Alfa Safe系統牆，廚具：林內，衛浴：TOTO,"['接待大廳', '空中花園']",,A9林口站,
28871,台北新都,,,新北市林口區仁愛路二段233號,,地上14層,,住宅大樓,,"一房(18.47~31.81坪),二房(31.81~63.98坪),三房(9.27~78.43坪),四房(5.08~90.95坪),五房(51.64~79.91坪)",住家用,,0,,11~13%,,,,35元/戶/月,RC造,住宅區,,朝北、朝西、朝東、朝西北、朝東北、朝東南,,"['中庭花園', '交誼廳', '會議室', '閱覽室', '健身房', '桌球室', 'KTV', '信箱區', '兒童遊戲區']",,,
26269,富堡晶悅,,,新北市林口區文化二路一段68巷26號,28,"地上15層,地下2層",,住宅大樓,,"三房(53.26~53.32坪),四房(72.16~83.15坪)",見其他登記事項,,0,59.85%,32~33%,,,,80元/戶/月,RC造,第五種住宅區,,朝東北、朝西北、朝南,,"['接待大廳', '中庭花園', '空中花園', '交誼廳', '健身房', '曬被區', '信箱區']",,,
11492,杜拜棕櫚泉,,,新北市林口區中山路235號,,地上14層,,住宅大樓,,"一房(49.23坪),二房(26.79~100.59坪),三房(26.79~84.12坪),四房(29.78~75.22坪)",見其他登記事項,,"5,571坪",24.23%,31~32%,,,,3875元/戶/月,RC造,住宅區,,朝北、朝南、朝西、朝東、朝西北、朝西南、朝東北、朝東南,,"['接待大廳', '中庭花園', '空中花園', '交誼廳', '會議室', '閱覽室', '視聽室', '游泳池', '健身房', 'SPA', 'KTV', '廚藝教室']",,,
11527,心原宿,,,新北市林口區中北三街198~206號,35,"地上11層,地下2層",,住宅大樓,,"二房(30坪),2+1房(35坪)",住商用,,319坪,40.6%,31.8%,1:1.09,,,65元/坪/月,RC造,第二種住宅區,,朝北、朝西、朝東北,"中央集塵系統.五合一暖風機.鑄鋁防爆門含(CISA鎖).影視對講機
乾濕分離(淋浴拉門),三面採光!錦弘氣密隔音窗,
LOW-E玻璃調節室內外氣溫,隔絕紫外線","['接待大廳', '中庭花園', '會議室', '健身房', '瑜伽教室', '信箱區', '曬被區']",,A9捷運站約3公里,
5933715,凱旋世界,,,新北市林口區文化二路一段68巷10號,132,地上10層,,華廈,,,住商用,,0,,43.88%,,,,2162元/戶/月,RC造、其他,,,朝西、朝北、朝東北,,,,,
102507,氧樂多,,,新北市林口區忠福路&南勢一街交叉口,235,"地上7層,地下2層",,華廈,,"一房(17坪),二房(27坪),三房(37~42坪),2+1房(30坪)",住商用,,"1,970坪",43.83%,32%,1:1.07,,,65元/坪/月,RC造,第二種住宅區,,朝西北、朝西南、朝東北、朝東南,RC鋼筋混凝土，廚房：林內三機，衛浴：和成，地磚：冠軍，五金：BACHOR龍頭。,"['接待大廳', '交誼廳', '健身房', '親子遊戲區', '瑜伽教室', 'Lounge Bar', '毛小孩公園']",,A9林口站,
35363,台北麗都B區,,,新北市林口區文化二路一段120巷1號,,地上12層,,住宅大樓,,"二房(22.71~35.46坪),三房(22.71~52.26坪)",住家用,,0,,23.97%,,,,2434元/戶/月,RC造,住宅區,,朝東南、朝西南、朝西北,,,,,
26048,巴黎愛樂,,,新北市林口區文化三路一段447巷29號,79,地上13層,,住宅大樓,,"二房(27.81~37.11坪),三房(36.23~65.97坪),四房(47.12~53.48坪)",住家用,,0,39.92%,31.86%,,,,3795元/戶/月,RC造,住宅區,,朝西南,,,,,
26060,羅芙宮,,,新北市林口區文化三路一段377號,155,地上12層,,住宅大樓,,"二房(39.11~44.81坪),三房(27.01~72.56坪),四房(45.03~72.03坪),五房(60.16坪)",住家用,,0,45.12%,28~35%,,,,60元/戶/月,RC造,住宅區,,朝西北、朝東南,,"['接待大廳', '中庭花園', '交誼廳', '會議室', '閱覽室', '視聽室', '健身房', 'KTV', '信箱區', '曬被區']",,,
26386,世紀長虹,,,新北市林口區忠孝三路,194,"地上28層,地下4層",,住宅大樓,,"二房(49.99坪),三房(62.05~118.82坪),四房(62.45~170.1坪)",住家用,,"2,008坪",60%,33~33.8%,1:2.32,,,100元/坪/月,RC造,第五種住宅區,,朝北、朝南、朝西、朝東、朝西北、朝西南、朝東北、朝東南,,"['接待大廳', '中庭花園', '空中花園', '交誼廳', '閱覽室', '游泳池', '健身房', '桌球室', '親子遊戲區', 'KTV', '瑜伽教室', '廚藝教室', '信箱區', 'Lounge Bar']",,,
104748,太子苑,,,新北市林口區民族路98-136號,191,"地上23層,地下4層",,住宅大樓,,店面(35~89坪),住商用,,931坪,25.19%,33.9%,1:1.03,,,85元/坪/月,RC造,第五種住宅區,,朝西北、朝東南,"●玄關門：鑄鋁板鋼木門 + 義大利CISA鎖
●衛浴：德國品牌INNOCI，主衛附免治馬桶便座
●廚具：豪山牌 (抽油煙機、IH爐、烘碗機) 
●排水排氣系統：全區單層排氣，瑞典Durgo吸氣閥
●地磚：冠軍拋光石英磚、德國KRONOTEX木地板

","['接待大廳', '交誼廳', '健身房', '廚藝教室', '圖書館', '棋藝室', '景觀花園']",,A9林口站,
26024,法國小鎮香頌區,,,新北市林口區東湖路2號,80,地上7層,,華廈,,"二房(53.41坪),三房(44.13~73.08坪),四房(44.13~56.63坪),五房(83.63~97.96坪)",住家用,,"2,385坪",40.76%,10~20%,,,,50元/戶/月,RC造,住宅區,,朝東,,['無公設'],,,
5903778,侘極,,,新北市林口區民族路82巷巷口,113,"地上15層,地下4層",預售屋,住宅大樓,,"一房(15.49坪),二房(22.68~30.03坪),三房(35.95坪)",住商用,,422坪,47.31%,34.5%,1:0.75,,,無管理費,RC造,第五種住宅區,,朝西北、朝東南,廚具：德國Noblessa、林內三機，衛浴：瑞士AXENT智能馬桶，五金：GROHE，其他：SPC石塑地板、日本不二氣密窗、PHILIPS五合一電子鎖、數位監控。,"['接待大廳', '交誼廳', '閱覽室', '瑜伽教室']",,機捷A9林口站,
11450,九揚香登大廈,,,新北市林口區文化三路一段607號,49,地上13層,,住宅大樓,,"三房(24.33~93.88坪),四房(61.22~71.24坪)",見其他登記事項,,0,43.17%,28.32%,,,,5778元/戶/月,RC造,住宅區,,朝東北、朝西南,,,,,
26094,鉑晶,,,新北市林口區文化三路二段211巷71號,,地上12層,,住宅大樓,,"一房(26.18坪),二房(25.51~42.5坪),三房(29.98~69.3坪),四房(41.83~52.38坪)",住家用,,0,53.11%,32.67%,,,,3087元/戶/月,RC造,住宅區,,朝西北、朝東北、朝東南,,,,,
35207,藝樹家,,,新北市林口區文化北路一段412巷5、7號,100,"地上14層,地下2層",,住宅大樓,,三房(45~46坪),住商用,,918坪,33.25%,32.8%,1:0.93,,,60元/坪/月,RC造,第二種住宅區,,朝南,依現場為主,"['接待大廳', '中庭花園', '閱覽室', '健身房', '信箱區', '曬被區']",,A9林口站,
26157,塞維亞,,,新北市林口區東明二街101號,18,地上3層,,透天,,"四房(91.09~94.56坪),五房(96.23~114.68坪)",住家用,,947坪,37.24%,30.59%,,,,3106元/戶/月,RC造、其他,住宅區,,朝東、朝東南,,,,,
